old_url,new_path
https://help.oxfordabstracts.com/knowledge/editing-a-symposium-1,/09-add-ons/managing-symposia
https://help.oxfordabstracts.com/knowledge/editing-a-users-submission,/02-submissions/editing-a-user-s-submission
https://help.oxfordabstracts.com/knowledge/editing-email-signature,/05-emails/creating-custom-emails
https://help.oxfordabstracts.com/knowledge/emailing-presenters-directly,/05-emails/emailing-presenters-and-authors-directly
https://help.oxfordabstracts.com/knowledge/emails-from-submission-table,/05-emails/sending-emails-from-tables
https://help.oxfordabstracts.com/knowledge/event-administrator-checklist,/01-getting-started/abstract-management-checklist
https://help.oxfordabstracts.com/knowledge/event-administrator-dashboard,/01-getting-started/event-dashboard
https://help.oxfordabstracts.com/knowledge/event-dashboard,/01-getting-started/event-dashboard
https://help.oxfordabstracts.com/knowledge/event-details,/01-getting-started/event-details
https://help.oxfordabstracts.com/knowledge/event-theme,/01-getting-started/event-theme
https://help.oxfordabstracts.com/knowledge/exploring-the-poster-gallery,/14-for-attendees-exhibitors/exploring-the-poster-gallery
https://help.oxfordabstracts.com/knowledge/exploring-the-virtual-conference,/14-for-attendees-exhibitors/exploring-the-conference-platform
https://help.oxfordabstracts.com/knowledge/export-table-data-to-excel,/06-programme-exports-reports/export-table-data-to-excel
https://help.oxfordabstracts.com/knowledge/faq-conference-program,/08-conference-platform/
https://help.oxfordabstracts.com/knowledge/faq-decisions,/04-decisions/
https://help.oxfordabstracts.com/knowledge/faq-delegate-registration,/07-delegate-registration/
https://help.oxfordabstracts.com/knowledge/faq-emails,/05-emails/
https://help.oxfordabstracts.com/knowledge/faq-getting-started,/01-getting-started/
https://help.oxfordabstracts.com/knowledge/faq-guidance-for-admins-dealing-with-end-user-issues,/01-getting-started/helping-your-submitters-reviewers-and-committee-with-problems
https://help.oxfordabstracts.com/knowledge/faq-multistage,/02-submissions/
https://help.oxfordabstracts.com/knowledge/faq-reports,/06-programme-exports-reports/
https://help.oxfordabstracts.com/knowledge/faq-reviewers,/13-for-reviewers-committee/completing-a-symposium-review
